"Index","Root","Dice 1","RR choice 1","Outcome 1","Score 1","Dice 2","RR choice 2","Outcome 2","Score 2",
0,0.61446,0.51459,0.368488,0.370073,0.740444,0.417035,0,0,0,
1,"",0.649235,0.554123,0.738209,0,0.815095,0.495013,1,1,
2,"",0.645164,0.61908,0.631509,0.737666,0.915936,0.752098,1,1,
3,"","",0.740547,"",0.738751,0,1,0,0,
4,"","",0.685017,"",0.262534,0,1,0,0,
5,"","",0.631011,"",1,0,1,0,1,
6,"","","","","",0.418696,0,0,1,
7,"","","","","",0.810579,0,1,0,
8,"","","","","",0.916982,0,1,1,
9,"","","","","",0.916389,0,1,"",
10,"","","","","",0.813987,0,1,"",
11,"","","","","",0.411213,0,0,"",
12,"","","","","",0.0815711,0,0,"",
13,"","","","","",0.191265,0.501014,0,"",
14,"","","","","",0.584026,0.747199,1,"",
15,"","","","","",1,1,1,"",
16,"","","","","",1,1,1,"",
17,"","","","","",1,1,1,"",
18,"","","","","","",1,"","",
19,"","","","","","",1,"","",
20,"","","","","","",0.750972,"","",
21,"","","","","","",1,"","",
22,"","","","","","",0.499762,"","",
23,"","","","","","",0,"","",
24,"","","","","","",0,"","",
25,"","","","","","",0,"","",
26,"","","","","","",0.255814,"","",
27,"","","","","","",0,"","",
28,"","","","","","",0.501464,"","",
29,"","","","","","",1,"","",
30,"","","","","","",1,"","",
31,"","","","","","",1,"","",
32,"","","","","","",1,"","",
33,"","","","","","",1,"","",
34,"","","","","","",1,"","",
35,"","","","","","",1,"","",
