"Index","RR choice 1","Score 1","RR choice 2",
0,0.62967,1,1,
1,0.749783,0.261433,1,
2,0.808529,0.737095,1,
3,0.869755,1,1,
4,0.869718,0.740164,1,
5,0.870596,1,1,
6,"","",1,
7,"","",0.502344,
8,"","",0.247042,
9,"","",0,
10,"","",0,
11,"","",0,
12,"","",0,
13,"","",0.502217,
14,"","",0.746519,
15,"","",1,
16,"","",1,
17,"","",1,
18,"","",1,
19,"","",1,
20,"","",1,
21,"","",1,
22,"","",1,
23,"","",1,
24,"","",0,
25,"","",0.499838,
26,"","",0.754067,
27,"","",1,
28,"","",1,
29,"","",1,
30,"","",1,
31,"","",1,
32,"","",1,
33,"","",1,
34,"","",1,
35,"","",1,
