"Index","Root","Dice 1","RR choice 1","Outcome 1","Score 1","Dice 2","RR choice 2","Outcome 2","Score 2",
0,0.807251,0.729389,0.628771,0.630708,1,1,1,1,1,
1,"",0.825044,0.750691,0.86893,0.261714,1,1,1,1,
2,"",0.849911,0.809659,0.870647,0.737666,1,1,1,1,
3,"","",0.869741,"",1,0.582075,1,1,0,
4,"","",0.870078,"",0.741125,0.188897,1,0,0,
5,"","",0.869388,"",1,0.0816187,1,0,1,
6,"","","","","",0.418696,1,0,1,
7,"","","","","",0.810579,0.504638,1,1,
8,"","","","","",0.916982,0.248017,1,1,
9,"","","","","",1,0,1,"",
10,"","","","","",1,0,1,"",
11,"","","","","",1,0,1,"",
12,"","","","","",0.413743,0,0,"",
13,"","","","","",0.814811,0.501014,1,"",
14,"","","","","",0.916795,0.747199,1,"",
15,"","","","","",1,1,1,"",
16,"","","","","",1,1,1,"",
17,"","","","","",1,1,1,"",
18,"","","","","","",1,"","",
19,"","","","","","",1,"","",
20,"","","","","","",1,"","",
21,"","","","","","",1,"","",
22,"","","","","","",1,"","",
23,"","","","","","",1,"","",
24,"","","","","","",0,"","",
25,"","","","","","",0.498034,"","",
26,"","","","","","",0.753303,"","",
27,"","","","","","",1,"","",
28,"","","","","","",1,"","",
29,"","","","","","",1,"","",
30,"","","","","","",1,"","",
31,"","","","","","",1,"","",
32,"","","","","","",1,"","",
33,"","","","","","",1,"","",
34,"","","","","","",1,"","",
35,"","","","","","",1,"","",
